GyroX,GyroY,GyroZ
-0.00342,0.01677,0.0148
-0.00342,0.01677,0.0148
0.00417,0.00159,0.02239
0.00417,0.00159,0.02239
0.00417,0.00159,0.02239
0.00417,0.00159,0.02239
0.00417,0.00159,0.02239
0.00417,0.00159,0.02239
-0.02619,0.03195,0.02239
-0.02619,0.03195,0.02239
-0.02619,0.03195,0.02239
-0.02619,0.03195,0.02239
-0.02619,0.03195,0.02239
-0.02619,0.03195,0.02239
-0.03378,0.03195,0.03757
-0.03378,0.03195,0.03757
-0.03378,0.03195,0.03757
-0.03378,0.03195,0.03757
-0.03378,0.03195,0.03757
0.01936,-0.006,-0.00797
0.01936,-0.006,-0.00797
0.01936,-0.006,-0.00797
0.01936,-0.006,-0.00797
0.01936,-0.006,-0.00797
0.01936,-0.006,-0.00797
0.00417,0.01677,-0.00797
0.00417,0.01677,-0.00797
0.00417,0.01677,-0.00797
0.00417,0.01677,-0.00797
0.00417,0.01677,-0.00797
0.00417,0.01677,-0.00797
-0.02619,-0.02877,0.02239
-0.02619,-0.02877,0.02239
-0.02619,-0.02877,0.02239
-0.02619,-0.02877,0.02239
-0.02619,-0.02877,0.02239
-0.02619,-0.02877,0.02239
0.01176,-0.02877,-0.00797
0.01176,-0.02877,-0.00797
0.01176,-0.02877,-0.00797
0.01176,-0.02877,-0.00797
0.01176,-0.02877,-0.00797
0.01176,-0.02877,-0.00797
0.02695,-0.01359,-0.06869
0.02695,-0.01359,-0.06869
0.02695,-0.01359,-0.06869
0.02695,-0.01359,-0.06869
0.02695,-0.01359,-0.06869
0.02695,-0.01359,-0.06869
0.04213,-0.03636,-0.03833
0.04213,-0.03636,-0.03833
0.04213,-0.03636,-0.03833
0.04213,-0.03636,-0.03833
0.04213,-0.03636,-0.03833
0.04213,-0.03636,-0.03833
0.02695,-0.01359,0.02239
0.02695,-0.01359,0.02239
0.02695,-0.01359,0.02239
0.02695,-0.01359,0.02239
0.02695,-0.01359,0.02239
-0.00342,-0.03636,0.00721
-0.00342,-0.03636,0.00721
-0.00342,-0.03636,0.00721
-0.00342,-0.03636,0.00721
-0.00342,-0.03636,0.00721
-0.00342,-0.03636,0.00721
0.03454,-0.02877,0.04516
0.03454,-0.02877,0.04516
0.03454,-0.02877,0.04516
0.03454,-0.02877,0.04516
0.03454,-0.02877,0.04516
0.03454,-0.02877,0.04516
0.02695,-0.02118,0.06793
0.02695,-0.02118,0.06793
0.02695,-0.02118,0.06793
0.02695,-0.02118,0.06793
0.02695,-0.02118,0.06793
0.02695,-0.02118,0.06793
-0.01101,0.00159,0.0148
-0.01101,0.00159,0.0148
-0.01101,0.00159,0.0148
-0.01101,0.00159,0.0148
-0.01101,0.00159,0.0148
-0.01101,0.00159,0.0148
